Scraped_At,Competitor_Name,Product_ID,Product_Name,Competitor_Price
2025-04-15 00:00:00,Carrefour,105,Prod_105,116.23
2025-01-21 00:00:00,Fathallah,104,Prod_104,119.98
2026-04-26 00:00:00,Lulu,104,Prod_104,137.43
2025-02-20 00:00:00,Fathallah,114,Prod_114,194.65
2025-01-28 00:00:00,lulu,118,Prod_118,209.25
2025-06-05 00:00:00,Carrefour,103,Prod_103,93.3
2026-02-10 00:00:00,Lulu,104,Prod_104,126.85
2025-08-04 00:00:00,lulu,112,Prod_112,166.14
2025-02-13 00:00:00, Carrefour ,105,Prod_105,105.74
2025-09-11 00:00:00,Carrefour,119,Prod_119,210.97
2025-11-24 00:00:00, Carrefour ,106,Prod_106,112.83
2025-01-17 00:00:00,Carrefour,119,Prod_119,215.04
2025-10-21 00:00:00,lulu,100,Prod_100,99.95
2025-08-07 00:00:00, Carrefour ,117,Prod_117,196.94
2025-09-14 00:00:00,Lulu,111,Prod_111,176.78
2026-05-10 00:00:00,Carrefour,101,Prod_101,100.2
2026-03-02 00:00:00, Carrefour ,106,Prod_106,106.53
2025-04-07 00:00:00,Fathallah   ,118,Prod_118,196.28
2025-12-30 00:00:00,Fathallah,100,Prod_100,98.33
2026-02-12 00:00:00,Lulu,113,Prod_113,172.1
2025-10-15 00:00:00, Carrefour ,119,Prod_119,174.1
2025-08-09 00:00:00,Lulu,100,Prod_100,102.79
2025-06-10 00:00:00,Carrefour,117,Prod_117,195.43
2025-07-29 00:00:00,Carrefour,115,Prod_115,177.06
2025-02-05 00:00:00,lulu,117,Prod_117,203.31
2025-05-22 00:00:00,Carrefour,104,Prod_104,112.5
2025-01-24 00:00:00,Fathallah,106,Prod_106,133.36
2025-08-08 00:00:00,Fathallah,110,Prod_110,158.28
2025-01-08 00:00:00,Fathallah   ,110,Prod_110,134.89
2025-10-09 00:00:00,Fathallah,107,Prod_107,148.64
2025-05-09 00:00:00,Carrefour,113,Prod_113,147.94
2025-08-27 00:00:00, Carrefour ,106,Prod_106,149.24
2025-03-17 00:00:00,Fathallah,101,Prod_101,94.14
2025-07-11 00:00:00,Fathallah   ,113,Prod_113,157.5
2025-07-08 00:00:00,lulu,104,Prod_104,113.91
2025-01-04 00:00:00,Fathallah   ,107,Prod_107,147.24
2026-04-30 00:00:00,lulu,105,Prod_105,118.23
2025-05-03 00:00:00,Fathallah   ,104,Prod_104,107.17
2026-04-18 00:00:00,Lulu,111,Prod_111,173.72
2025-04-08 00:00:00, Carrefour ,106,Prod_106,116.69
